timestamp,other_cpu_pct
2026-09-13T23:56:01,42
2026-09-13T23:56:31,16
2026-09-13T23:57:01,18
2026-09-13T23:57:31,73
2026-09-13T23:58:01,20
2026-09-13T23:58:31,22
2026-09-13T23:59:01,54
2026-09-13T23:59:31,34
2026-09-14T00:00:01,57
2026-09-14T00:00:31,34
2026-09-14T00:01:01,56
2026-09-14T00:01:31,22
2026-09-14T00:02:02,25
2026-09-14T00:02:32,27
2026-09-14T00:03:02,42
2026-09-14T00:03:32,29
2026-09-14T00:04:02,36
2026-09-14T00:04:32,12
2026-09-14T00:05:02,4
2026-09-14T00:05:32,5
2026-09-14T00:06:02,106
2026-09-14T00:06:32,4
2026-09-14T00:07:02,127
2026-09-14T00:07:32,126
2026-09-14T00:08:02,122
2026-09-14T00:08:32,132
2026-09-14T00:09:02,119
2026-09-14T00:09:32,148
2026-09-14T00:10:03,123
2026-09-14T00:10:33,134
2026-09-14T00:11:03,149
2026-09-14T00:11:33,146
2026-09-14T00:12:03,51
2026-09-14T00:12:33,89
2026-09-14T00:13:03,144
2026-09-14T00:13:33,25
2026-09-14T00:14:03,23
2026-09-14T00:14:33,41
2026-09-14T00:15:03,111
2026-09-14T00:15:33,29
2026-09-14T00:16:03,27
2026-09-14T00:16:33,49
2026-09-14T00:17:03,22
2026-09-14T00:17:34,42
2026-09-14T00:18:04,125
2026-09-14T00:18:34,110
2026-09-14T00:19:04,56
2026-09-14T00:19:34,43
2026-09-14T00:20:04,48
2026-09-14T00:20:34,24
2026-09-14T00:21:04,223
2026-09-14T00:21:34,28
2026-09-14T00:22:04,49
2026-09-14T00:22:34,25
2026-09-14T00:23:04,35
2026-09-14T00:23:34,27
2026-09-14T00:24:04,97
2026-09-14T00:24:34,80
2026-09-14T00:25:05,22
2026-09-14T00:25:35,76
2026-09-14T00:26:05,136
2026-09-14T00:26:35,177
2026-09-14T00:27:05,107
2026-09-14T00:27:35,14
2026-09-14T00:28:05,39
2026-09-14T00:28:35,17
2026-09-14T00:29:05,12
2026-09-14T00:29:35,14
2026-09-14T00:30:05,46
2026-09-14T00:30:35,27
2026-09-14T00:31:05,12
2026-09-14T00:31:35,55
2026-09-14T00:32:05,20
2026-09-14T00:32:35,36
2026-09-14T00:33:06,16
2026-09-14T00:33:36,15
2026-09-14T00:34:06,29
2026-09-14T00:34:36,14
2026-09-14T00:35:06,20
2026-09-14T00:35:36,13
2026-09-14T00:36:06,23
2026-09-14T00:36:36,5
2026-09-14T00:37:06,9
2026-09-14T00:37:36,5
2026-09-14T00:38:06,52
2026-09-14T00:38:36,4
2026-09-14T00:39:06,120
2026-09-14T00:39:36,4
2026-09-14T00:40:06,5
2026-09-14T00:40:37,3
2026-09-14T00:41:07,5
2026-09-14T00:41:37,125
2026-09-14T00:42:07,132
2026-09-14T00:42:37,128
2026-09-14T00:43:07,134
2026-09-14T00:43:37,138
2026-09-14T00:44:07,121
2026-09-14T00:44:37,139
2026-09-14T00:45:07,131
2026-09-14T00:45:37,124
2026-09-14T00:46:07,141
2026-09-14T00:46:37,149
2026-09-14T00:47:07,130
2026-09-14T00:47:37,130
2026-09-14T00:48:08,140
2026-09-14T00:48:38,124
2026-09-14T00:49:08,129
2026-09-14T00:49:38,133
2026-09-14T00:50:08,149
2026-09-14T00:50:38,296
2026-09-14T00:51:08,296
2026-09-14T00:51:38,148
2026-09-14T00:52:08,164
2026-09-14T00:52:38,129
2026-09-14T00:53:08,147
2026-09-14T00:53:38,145
2026-09-14T00:54:08,137
2026-09-14T00:54:38,115
2026-09-14T00:55:08,130
2026-09-14T00:55:38,133
2026-09-14T00:56:09,142
2026-09-14T00:56:39,146
2026-09-14T00:57:09,119
2026-09-14T00:57:39,134
2026-09-14T00:58:09,135
2026-09-14T00:58:39,126
2026-09-14T00:59:09,170
2026-09-14T00:59:39,129
2026-09-14T01:00:09,131
2026-09-14T01:00:39,117
2026-09-14T01:01:09,156
2026-09-14T01:01:39,147
2026-09-14T01:02:09,124
2026-09-14T01:02:39,135
2026-09-14T01:03:09,124
